project_name,project_desc,offer_desc
,good survival game just need powerful pc,
,This game is that DayZ should be. If you like games that are truely survival you will love this game.If you don't like running around you will not like this game,
,Realistic gameplay and good graphcis. Thumbs up!!,
,This game is good,
,didnt played too much but i always check updates and changes in stream. too many updates but it is still pubg as shroud said,
,Now I can play Tennis without people laughing at me. 10/10.,
,Good Game ),
,Product received for free. Hello I'm a Chinese player. I was banned a week ago we Chinese quality is really low but not every Chinese cheating I didn't cheat just opened an uncommon VPN. You banned me I think this is a misunderstanding I hope steam team can help me unlock the game. If not please write to me why thank you! I'm not expecting a refund for your reply. Just want to find more contact way to let you contact me as soon as possible.,
,Nice game ! ),
,big moist,
,Product received for free. nice,
,Product received for free. In short vanilla Skyrim Legendary Edition with a lighting mod and a water mod. Textures are still bad can't change volume in game in fullscreen mode still capped at 60 fps by default and I still feel like there's a 50% chance alt tab will crash my game. The only redeeming quality is that it's 64 bit so mods have more room to work with.,
,Great Game,
,Product received for free. Nothing to do no items spawning anywhere no objective no fun. Glad it was a gift.edit 11/1/2017 still nothing makes sense. no way to steady scope when aiming so you get shot from super far away meanwhile your scope swings all over the place for no reason even if you've been sitting still for five minutes.,
,Product received for free. .......,
,Well this game was good wait thats a lie. Its only good with mods for offline use and now take two have banned the mods and taken open iv is down. This is the only reason many people by the game is just for the mods. Take your time and sign this petition. https //www.change.org/p/rockstar games save openiv,
,really nice,
,Product received for free. This game is so unfair cant win lol the killers can dash u go invis etc etc while u cant do jack br&gt and the servers are so laggy,
,A great game windows 98 runs perfect on this. 10/10 optimization.,
,Basically pay to do anything new as in spend 1000 hours grinding or buy money rock just wants dollar.,
,Very well made and lots of fun and very stressful. In early release so of course there are several bugs and glitches here and there but for the most part it plays really well.,
,One of the best GTA games.,
,Awesome and addictive. If you enjoy survival games this game has it all. Highly Recommended!,
,Astroneer is a terrifically fun game and I really hope the developer continues to produce quality updates for it. It has more content in it as a 'pre alpha' than a lot of early access and beta games that I've played in the past and it's ludicrously simple and fun.Yes there are some issues like crashing (primarily if you're playing multiplayer single player is very stable) and some wonky bugs like very rarely falling through the world when you get out of vehicles. And there's a finite amount of content in the game although there's enough IMO to justify its $20 price tag. There are also some basic features that you'll find in many games like a save management system that just aren't here.But the environments are gorgeous the play mechanics are intuitive and enjoyable (I especially like the fact that there's no UI it really helps with the immersion factor) and the graphics and animations are styilized but fun and beautiful. The fact that there are already multiple planets available (albeit with similar threats and resources available) is great for a game this early in its development.This honestly is what I think No Man's Sky intended to be on a smaller scale but with the potential to achieve what NMS probably won't. If you're into exploration/crafting/survival games I highly recommend picking it up to help out the developers to build this game into something amazing.,
,...,
,10/10,
,ing battleye client doesn't work,
,One of the best games that i have played on my PC. I played it on Xbox first but the PC version is by far the best version of this fantastic game i could not recommend this more.,
,Angry *aarghh*!,
,The game is a ton of fun. HOWEVER it's going in the wrong direction.Pay $20 &gt has cars as dlc &gt lootboxes keys you need to pay for &gt rocket pass locked behind grind &gt get a premium! Buy it.Haha for $20 you still don't get everything.,
,"This game is pretty neat as long as you have your lucky day and play with friends.This game is not so damn good if you keep having desync getting shot through ground getting camped like in CoD or getting random crashes.Unfortunately at least one of the former happens at least eight out of 10 games.Just wait for them to release a proper version and not follow the people who release ""beta"" game. What the is wrong with this industry and releasing unfinished products to the public.",
,Awesome. The physics make sense and graphics areGreat.,
,Love the game fun addicting and worth the money,
,One day Lionel Messi bought mysterious shrooms from a street side seller and consumed them. After that he hijacked Nintendo and reinvented mariokart. Days later he somehow put up the game on steam. That's how rocket league is made. m8 I'd r8 8/8 Sincerely He Man,
,it is 100% a game,
,Everything except camper killers is fun. DHighly recommended to people who has friends.,
,100 players from the start Jumping out of a plane to any locaion you choose Finding gear and killing anyone who's not you or your fireteam. Holding down buildings from enemys or running across a open field and getting shot out of know where and hitting the deck and wondering what the hell to do. Great game and concept to the game. Fun if you have buddies. Also fun to team kill XD,
,I GOT THE CHICKEN DINNER!!,
,What a good game this is balanced and fun playing with 300fps and no lag at all. Severs are working perfectly too. 10/10 need to cost more than 100e,
,Cars r fun xD,
,Love this game haven't had any crashing issues. Only connection issues but works enough of the time.,
,horrible optimizationcan't customize character not even change freaking gender because devs are feminists or some greatwould refund if i could,
,Great game I got it two days ago and I've been playing it nonstop. I understand thay it's noteveryoes cup of tea but if you love driving at fast speeds with wonky physics trying to hit a gigantic soccerball than this game isfor you.,
,The most toxic community ever to gather in one place.I forgot that nice people even exist.10/10,
,This game is so good if you can run it but some gamemodes can be pretty like tiny racers but I would HIGHLY sugest this game.,
,I like,
,Killed a deer got chicken meat out of it 5/7 would recommend.,
,NEEDS A MAP SELECT OPTION!,
,"This game is complete trash. Honestly I'm still wondering how the they actually thought this game was ""ready"" when it was ""offically"" released back in Dec 21 2017 with the 1.0 update. They are some scumbags honestly. Game keeps crashing frequently and it hasn't been all this way when I first brought the game back in March I believe. Now whenever I load into the game it takes forever and by the time it does load I'm at the end of the plane route whereas my teammates have already jump in some other area that I am half across the map from. Ever since the recent updates I feel like with every ""patch"" or update the game continues to progress in a poorly optimized setting for their game and it's really sad. The game has almost been fully released in almost a year now and it's still this ""Fix PUBG"" is a joke as of right now the recent ""fixes"" they put out only gets worse and worse for me. I really hope by the time they finshed with all the fixes they promised us in their Fixed PUBG website is true and they would continue to patch this game up but as of right now don't but this game until they fixed all the damn bugs desync and optimized this damn game. I only play this game because I have hope that this game could be the best it can be in the spam of 3 months of fixes from the devs.",
,Of course you should buy this game. It's Grand Theft Auto and it does what you want it to do. Singleplayer is just as fun as online play with a great story. Just a no brainer.***EDIT PLEASE RECONSIDER THIS REVIEW.***I was one of the multiple people banned after minimal gameplay time and absolutely no history of cheating. Don't buy this game. If a company is going to be so careless in how they handle their playerbase you should not invest 60 dollars in them. I have sent multiple tickets to support to see if i can get at the very least an EXPLANATION why I got banned but the only person that has bothered to respond was ING TREVOR. TREVOR. FROM STORY MODE. Don't waste your money. You'll just be banned.,
,This game is a great game. As many online games there are toxic people and there are people who arent great at the game. Dont let the toxicity ruin the game. It is very fun. There are some bugs but they fix them fairly quick. The devs are doing their best and thats what matters.,
,Can play this game for hours and hours without advancing the storyline. Just roaming around doing random things driving the car and side missions is entertaining in itself.,
,10/10 would miss that ball again.,
,Rough on the edges but seriously addicting.,
,Good game still has some lag issues now and again.,
,need improvemnts and game is awesome,
,This truly is an amazing game. The graphics are absolutely stunning and the mechanics are so well thought out and made. I have around 61 hours on the game but I've only had it for about a month and can only play on weekends. The community isn't as toxic as most people say. I have logged on to multiple servers as a naked and was given a base and multiple full gear sets. Some people are rude but I believe that that's the entire purpose of the game. It was made so people could survive and fight and not so everyone could sit around and gather resources. It just came out of early access and I know that the only place this game can go is straight to the top. Highly reccomend it. 9.5/10,
,Okay so this game is extremely fantastic and gets your heart pumping. HOWEVER once you get to high ranks the number of hackers is so terrible. There is a hacker in everygame and now you can even see it in the deathcam. I have had multiple times where someone would be scoped in on the ground and then snap to my head then killing me ruining my duos and solos. Not to mention I have qued into duos and squad and have gotten 2 people that spoke english in my whole time playing PUBG. Sometimes you will have lag and hit reg problems but those problems seem to be dwarfed by the hackers/cheaters. I want to love this game and I do love it but I can't recommend this game until they fix the major problem which imo is the cheaters. Only then can they start to fix the hit reg and lag issues that are present.,
,1.5 million for purchasing early is a lie..allow me to clarify if you want the FULL amount.it is a lie..you cannot get 1 million of it unless you PVP!!!!!...PVErs were only given 500k!!!!!....this is a total misrepresentation of what was to be when sold ...if developers/reps will lie this early then game isnt worth it,
,"I have a low amount of hours on this game but i don't think anyone should waste their hard earned TRAPPP money on this game. The servers are unreliable and the dev team isn't doing their job by optomizing the game. i have a GTX 1070 with 32 gigs of ram an SSD and a hyperthreaded 4 core processor. and this game still crashes.When a game making as much money as it does selling this game to 15 year olds trying to play with their friends they should really be looking to update their game before creating an e sports scene. The version of the game they use in the tournements are not the same as they are on the lvie game. I don't think a company the ""plays"" their players like that shouldn't be in business and certainly does not deserve your business.",
,Won't work on my mac (My processor is 2.5 Ghz Intel Core i5Memory 8GB 1600 Mhz DDR3and it's a macintosh HD ( please help?,
,This game can be quite fun however the fact remains that it is very survivor tailored. Being a killer is like trying to open the worlds toughest pickle jar with your toes. This new ranking system makes pipping incredibly hard for killers as it really hurts you in ways you really can't control. In fact it seems to reward you for camping a survivor which is not fun for either party. It is also worth noting that bugs are incredibly common and rarely fixed. When they are they've been in the game for quite awhile. I rather like this game but it's honestly not worth the time nor the money I invested in it. It's rather sad.,
,"Fun game but the introduction of paid keys for ""Desperado"" is a step in the wrong direction",
,Have fun and get terrified with friends,
,Good game but please do something about tunneling campers. Also ping issues.,
,sås,
,Game is awesome. The developers however need to be fixed.,
,FIX YOUR GARBAGE SERVERS.,
,Product received for free. Pubg is good but my pc i s not good LOL Xd,
,The lag is reallllllll. Totally unplayable.,
,game,
,Grand Theift Auto 5 is literally one of my favourite games when I want to kick back relax and blow stuff up. I have spent most of my time playing this using their online feature and it's great. They constantly update it making it better than before. This game has really come a long way and I do recommend it to people who like free roaming chaos.,
,Its Like a Dog pooping,
,squads is fun,
,At present the best game excellent experience requiring higher PC configuration shooting techniques have certain requirements looking forward to opening Chinese servers.,
,found a fort.joined a clan.died.respawned and built a fort.went to and air drop.killed a guy.guys friend killed me.respawned and killed him.lived happily ever after.,
,Glitchy asf and horrible gameplay. Had high hopes but the producers just destroyed the game. well done idiots,
,You mix football (soccer) with rocket cars and you get this. What's not to love?,
,i had alot of fun playing rust u should play it too,
,Highly suggest you dont play this game because of all of the blantant cheaters,
,Product received for free. Upgraded version of one of my top games.,
,A great game if you want to relax for a minute and play without any stress.Short gameplay time for each match makes it the perfect game for casual gaming.,
,pretty ing boring and the developer is a,
,I was looking forward to this game coming to pc and when its release was delayed to make sure it was perfect I was impressed with the choice the final product is terrible and extremely disappointing. It glitches controls are slow too many server errors for the time I have played. Though it does look great for a game I anticipated so much I am highly disappointed especially after the delay in release so it could be perfected.,
,wow much fun,
,I get stuck at the waiting for character screen (,
,This is a interesting game al tought the servers are colapse some times and causes have to play on far away severs. Also can be good new maps weaponsm and vehicules to upgrade the experience of the game.,
,This game is one of the best games i ever played.,
,Fast flying cars 10/10 cocket league. faster than my dad chasing me trying to beat me,
,Best game I ever bought in 2016! Should have done it earlier!,
,Mr X is too scary. bad game design,
,I'm just gonna go ahead and say that the game is great.The recent update on September 6th has solved the remainder of the connection issues that although didn't happen to me personally did plague many others. It also fixed the frame drops that occured during high intensity moments of Kushala or Teostra. With Deviljho being released and much more content to be available in the coming monthes I don't see why you shouldn't pick this game up.Don't bother with the mixed rating just a lot of babies who aren't updating their reviews along with Capcom's fixes. What I commonly see as reasons would be the 6 months wait and how they shouldn't of released the game if it wasn't finished yet. To be honest the released version of the game wasn't that bad. The hunts were fun and I'd much rather have access to the game as early as possible. I'm sure many others were excited and couldn't wait any longer as well.,
,car soccer.with rockets.,
,There is plenty of good reviews about this game.I enjoy it mostly the ICE rink mod. wish that was the main game as i find the ball touch too random for my taste.what i really hate about the game is matchmaking and joining games with 1 minute to go loosing 6 nul.just fix that all ready.,
,Product received for free. Really good game i would rate 11 10 best game i have played so far,
,the new updating has caused a serious bug which turns every words in to dots. and I am enable to read any of the context now. this is very annoying wish can have a instant update to solve this bug,
,nice game. very interesting,
,Great game addictive just remember to have fun (and you will) while getting to know the physics and controls. Can be frustrating at times. Still trying (and failing) like hell to fly and score an aerial goal. I highly recommend to play it with friends.10/10,
,Its good,
,Take Two,
,The Ultimate Experience!,
,This ia an awesome game where you basically put together the idea of soccer matches and undestroyable cars! Great game and really like itOne thing I would like to add is where people are more balanced like where pros are playing with Pros because MANY times I have lost a game due to a bad teammate!*November 2018 Update* I don't like the idea of the rocket pass because it is DEFINITLY copying Fortnite (not like that is a good game). Many devs have copied the idea of a Battle Royale and now Rocket league is too. This was such a fun game to play with before the rocket pass,
,The game is great! Still alot of things to work out but its understandable. Would love a few more maps ones that are smaller so there is the option of quicker rounds.,
,D ),
,You spawn you see another naked you try to talk to them you get a rock hurled at your head.0/10 this game lost the social aspect which made it fun.,
,То что сейчас делают разработчики с этой играй просто калл!!! Добавление системы чертежей и из за них развитие идёт к нулю. Я эту игру окупил но не рад что сней сделали(((,
,The game is very poorly optimized &amp not fun due to campers everywhere.Got stale after 5 matches.,
,games a joke and has no future,
,Good game but my character's is too small ( !,
,Is this game e sport ready ? No It's a joke.Laggy servers piece of hitbox and cheaters with macro... This is the game in a nutshell.,
,fun shoots.,
,RUSTIt has so many layers to it so where to begin.Well. I'm no writer so I'll try to keep it to the point.Typical negative stuff said about RUST Hackers haven't ever seen one. 587 hrs on record. Grind Sure. But there are tons of servers with x3/x5/x10 even x1000. You think it feel like a grind simply pick another server. Griefers Once again. Pick the right server with no griefs allowed. Griefed anyways pop a quick message to admin and they'll help you. If not then you're doubtfully on the right server. Lag Not really not anymore than the next game even though there has been some at late I haven't really noticed any since 2 updates ago. Only people who shoot on sight Simply not true. Alliances are made and RUST has somewhat of a self justice enviroment. Especially if you like to be part of the social aspect chat helping people ect. It's my clear opinion that jackasses often get's as deserved. It really is a living social world where you'll meet the same people many times which is why you'll know who's who form alliences build neighborhoods ect. If you are a lone wolf like playing solo well unless you're one of those Chuck Norris kind of guys unlearn that quick to survive ) Offline raiders Build better bases it's a big part of why I enjoy RUST. Trial and error baby learn from your mistakes. There is alot of different ways to keep those unwanted visitors out and I personally love to see how raiders have to give up. I don't understand why people get so upset over raiders. They are doing you a service by testing out your design... for free and they use plenty of ressources to do it. Unless ofc they find your lootroom..What else.. What do I don't like?All of above still jazz,
,I really hate to give this game a bad rep based on something not game related but I feel compelled to warn those thinking of purchasing and losing $60.00. I bought this game after it came out for PC as an upgrade from my PS3 version. Graphics are crisp and beautiful the story is excellent with tons of extras after you finish the main storyline. My problem is with the Rockstar Social Club and their TERRIBLE service. They will not respond to countless emails I have sent to them about how their Social Club launcher will not let me play my game if this was one of the cheaper less new games I probably would not be so passionate about this but for this I feel completely jipped and ripped off. My experience with Rockstar has been one with months of not being able to play the game I spent a lot of money on and after this awful experience I will more than likely be searching for other games to spend my little amount of time one. Social Club is complete garbage and I'm shocked that such a well respected company treats their customers in this manner. Will more than likely not be purchasing another Rockstar product that I cannot even play.,
,vroom vroom s,
,The amount of angry entitled losers who keep tanking the games rating is a sorry example of the state of gaming today. You'd think the developers had publicly killed a puppy the way people are reacting instead of adding purely optional and purely cosmetic micro transactions. The game is fun zany and due to the amount of players and the way that it's structured you never know what's going to happen. I highly recommend this game. The new first person servers are definetly my favourite though. Third person too strongly favours camping.,
,New hunter or old hunter please give it a try. I started MH series with PSP then with 2DS. One thing i need to sat about MHW is that i can finally play on my PC.,
,Great gamme 10/10,
,connection issue still hasnt fixed yet,
,"Own GTA on console Decide to buy on PC Play OnlineRealise people on pc are much better than people on consoledecide to make company on console would get killed for no reason all the timeon pc do not get killed randomy muchbuy ""medical supplies"" go out and get supplies driving to warehouse people leave me alonebe happy people are niceguy shows up out of nowhere in a buzzard like rambothink oh noguy starts shootingi think oh no start zig zaging on the road kills me i have lost $18 000hire a friend tell friend he is a hitman nowtell him to kill target 3 times for losing me $18 000new hitman expertly goes out and kills him 3 times hitman does not die oncebe happylater on get stuck doing stuff and end up making a freind in lobby Hire friendfriend works for me now5 people now work for me sit in office on computerorder crates sit in office and watch minions do all the work 10/10 would run a shady company again",
,Worst game i ever pl ayed,
,Just not a friendly specs game for mid end PC user like me. Please make more comforable in 4GB users.,
,Everything what Rockstar wants is money unfortunately. And they recently shut down OpenIV so... Really bad approach for so big company.,
,The gameplay felt old and rusty,
,Feel like this is to early to write a review but the 9 hours I have played it have been amazing and I feel comfortable writing one. First off if you don't have this game go ahead and get it because I'm just going to be writing about how amazing it is and you'll waste your time so just get it. Now Rocket League despite what a lot of people are saying this game is not fifa with cars in any way. This game is its own game there is no passing period. If you expect everyone to be in order and stick to actual soccer positions you will unterly fail because this game is chaos and the object is to get the ball into the other teams goal and keep the ball out of yours. There really is no teamwork but if you want to succeed you have to use it but most players I've played with did not use a mic did not set up other players and did not play as the goalie. So if you want a fifa experience don't play this. This is not fifa with cars it just isn't but what it is an extremely fast paced game where you use hot wheels type cars to score goals and to defend and you can do both with mutiple different acrobatics. Every movement in this game will make you feel like a bad whether its boosting all the way down the field after a power up or diving in front of a ball and flip kicking it out of the way you will love every second of the movement and the thousands of players playing it can promise that. The way you become the best at this game is to think around the chaos look for the openings and most importantly have fun because if you beat yourself up over one missed shot it will affect your game tremendously. So get this game and when you do have funEric,
,Product received for free. idk what to say but HOLY CRAP HOW DO YOU TALK IN THIS GAME O3O,
,PlayerUnknown is a cuck,
,no.,
,DO NOT BUY,
,can't keep up anymore with online.... i just can't,
,One of the most fun games I've played in a while. Hours of fun and 100% worth the money,
,optimize the game already lmao,
,Literally had to change my rating for this game. I was very supportive for PUBG. I gave it a chance and I also gave Fortnite a chance. But after seeing and reading about PUBG sueing Fortnite again for 'copyrighting'. I just have to give this game a super negative review. It's absolutely ridiculously that they re doing what they re doing. Fortnite got their games under control. I don t have a single hiccup. But after days and days for weeks to months. I still have optimization problems cheating problems and just problems after problems with this game. Don t forget about the stupid loot boxes where you have the buy every keys for every boxes. The customizing is unappealing. It s so dull and just plain out boring. PUBG is like the now of DC and Fortnite s the Marvel. Stop suing other companies when you re NOT original. Focus more of your damn game. Fix the bugs and bugs and bugs! FIX IT! Stop being an immature baby stand the heck up and fix the darn thing. Geez,
,I can not find any matches. I am still trying to find people playing this guy. I am looking forward to playing it some time soon or I will just get a refund.,
,gr8,
,Damian dupa tylko że gra.... Obrzydliwe...,
,This game has it all. Soccer basketball tornadoes plungers hockey cars. It's amazing and I would recommend it to anyone.,
,good game D,
,Terrible game. Playing as the killer and trying to hook survivors never works.. The popup never comes up. All the maps have extreme balance issues some maps having too many pallets and some having little to none. This game needs a major fix. Fix your game.,
,I'm sure everyone is mostly concerned about the optimization and that's understandable. But PLEASE make the motorcycles less y than they are. As in make them more stable than being able to do a Triple 360* Backflip from a 1ft elevated mount of dirt.On a side note if you could make it so that the gun is armed when the magazine is IN the gun and not when the reload animation is finished that would be a small but fantastic update.,
,Running simulator. Once you get good loot you just move to the middle of the circle and hide for forty minutes. Extremely boring.,
,Dead By Daylight Is A Very Fun Game To Play With Ur Friends. It Is Challenging It's Fun It's Everything You Wished For A Game Like This. Keep Up The Good Work!,
,Good things CraftingBuildingBasic needs (Eat Drink)Bad things HelicopterAnimals that can walk through wallsFast depletion of basic needsRandom playable character (I got Asian guy when played first now i m a naked bald white woman)Very unintelligent player baseShort version.Senseless game with no goal game modes or anything else that can make it fun for me. Playing alone is boring playing with other people Death. You can spend many hours building something cool and then some player will attack you for no good reason. Very few animals and they can kill you easily if you don t have ranged weapon. You can t even hide in house. They will walk through walls!. Don t want to spend time on crafting? Okay kill everyone then. That s all you can do in this game. Kill or build. Same boring locations envious helicopter pilot that will kill you if you have something better than rock in your inventory. Do i need to mention optimization? I will skip that. How long this game in EA? Few years?,
,I really want to like this game but i cant. I feel like every time i play its the same thing over and over. The game is so toxic that you cant leave your base without being killed.Even when om naked i get killed.,
,Playing this game for the first time. Scored 2 goals. It was my happiest first time ever in my gaming history.Edit Servers are crappy...,
,Take 2 of my fingers up in the air in a 'V' shape Take Two Interactive Software Inc.,
,Solid gameplay still definitely needs refinement but it has a ton of potential. Dev's have been active and consistantly fixing issues. Still early access but like I said it is solid. Worth the $30 for sure. I have quite a few hours on record and have had a blast with my buddies.,
,Steaming pile of They flushed 9 months down the drain delaying the release of the PC version. They had AMPLE time to make the game playable on a keyboard and mouse... But it's... Unplayable. Swimming is a disaster. Submersibles helicopters? Is this a joke? I want a refund and a written apology from the in bred deformed FAS baby who allowed this game to be released in this form. Absolute mockery.,
,Good game but eploited by Hacks and Cheaters. Soft panishments only for cheaters.,
,Better than fifa,
,Many of the derank bug 0 Really sad T Tbut the game is really good too if them fix it,
,no,
,jebo vam bog otac majku picku,
,Lets stop the community from modding so we can charge more for DLC. you Take Two. you.,
,Best game Evr. Pley all dey.,
,I got a guitar and a f*cking gringo killed me to steal it from meB*TCH IF IT'S BECAUSE I'M HISPANIC THEN COME AND 1VS1 ME IRL AND I WON'T NEED A ROCK JUST FISTS,
,"El mejor juego actualmente en steam &lt 3 EDITED Solia ser el mejor juego de steam ( lo esta matando su propia comunidad y los desarrolladores le tengo cari*o al juego no quiero que se convierta en un ""h1z1"" (",
,SERVER I GOT A WALL HACK EVERY BEGGING OFF A MATCH SO THAT MEAN I CAN'T OPEN THOSE ING DOOR,
,start game play prologue game is surprisingly still kind of good even with my computer play franklin's beginning part with the car game legit stops game crashes start up game but use multiplayer lamar calls me in my apt. game won't let me move lamar calls again lamar calls again LAMAR I CAN'T ANSWER PLS DON'T BE MAD!!!!!!! gets kicked from multiplayer server for being idle lamar calls me irl says he hates me now10/10 would cry over Lamar hating me again,
,I have 1k hours on GTA V.... had no cheats..... now Im banned foreverGG R*better create good anti cheat nor a update with few cars,
,GG,
,very good.,
,I like playing it! Very good,
,Very fun,
,Not a place for casual gamers,
,one of the best,
,Pros More realistic and competitive than H1Z1What we wished DayZ standalone was.developers have a real passion for the game.Cons currently has a lot of bugs and glitches.In the games defense it is still in alpha.,
,Hours of fun. The GtA series has always been great but GTA 5 has really proven itself worthy of one of Rockstars best games. GTA online is awesome for just messing around with friends and the single player features a detailed storyline.GTA has probably the best free roam gameplay and never gets boring. I strongly recomend this game to all who seek adventure and the ability to cause mayhem amoung the streets of innocents...... TRUST ME ITS FUN,
,Great Monster Hunter game as always. Released with some bugs but they will get fixed very soon. Dont be afraid do play this game for 15+ hours Monster has alaways been hard to start. If you are an beginner to the series give it a try with at least 15+ hours otherwise you wont see how the game really is.,
,plz fix the game,
,My Friend has a slightly lower end pc than i do and he plays on medium settings i have to play on very low and half the time my ing world doesn't load. In fix the damn game bluehole!Every patch you realese the ing game get a whole hell of a lot worse i am unistalling this game until i can land from the plane and my world actually load in. this piece of garbage until they stop pulling a ubisoft #WeNeedOperationHealth,
,Every single online game I have been in I have seen a hacker.I've been set on fire after each respawn caged blown up thrown across the map been blocked by a ufo been teleported etc. etc. all because I killed someone and they got butt hurt. Avoid the game it's overrun and not worth anymore.,
,I would defo recommend this game its fun and thrilling at the same time the self satisfactions of building your own base and defending it is amazing sometimes the game can loose its sense of fun but it will soon come back if anyone wants a cheapish game that is being updated constantly then i would recommend rust it has its problems but they will soon be fixed.,
,I can now experience having sex with a hooker in first person and touch strippers in first person 10/10,
,5/7.Needs more hats.,
,BOO,
,THIS IS A HORIBLE GAME DONT BUY THIS CRAP,
,i play 8 game of nergigante and i disconnected 7 time naicee,
,The game optimization is bad. UP untill now I had to constantly do fixes according to the internet but since the last update I can't even fix the game to work anymore. Great way to spend 30$,
,I picked this gem up shortly after release. I had no idea there was a predecessor on Playstation 3 Supersonic Acrobatic Rocket Powered Battle Cars. This game is absolutely ridiculous. So ridiculous it has caused me to neglect many other games I have impulsively picked up during Steam sales. This game has been such a problem that I have put in over whopping 400 hours. That is just nuts over 16 days of gaming. In all honesty I love this game. All the various cars you can choose from and all the many possible customization options are dope. This review is way late and the latest update is the Aquadome and crate system. All just awesome. My only gripe is the fact I do not like that the crate keys are about a buck a piece and that you can often get repeat items out of the crates. If there are just a small group of people to play with trading becomes hard and crates build up due to the fact I cannot justify spending money constantly to open items that I will most likely already have. In my honest opinion I believe each key should be about 25 cents with a minimum four pack being a dollar. Just pick it up and play. It is fun. I currently game with an XBone One Elite Controller and use two paddles on the back for ball view and drifting/sliding. Pretty rad.,
,Excellent Game... More fun ( in SQUADS ) if you have friends... (Moreover it's an extremely realistic game !,
,Rocket league is a simple yet dynamic game for all skill levels. Starting out as a rookie you will rise through ranks and playstyles alike. Where new players will have great fun in learning the elemental controls and hitting the ball where it hurts more advanced players will want to start testing the merits of flying. Having conquered these at an elementary level the fun starts for real. There's really no limit to the amount of idiotic tenuously difficult flying actions you can perform. And oh imagine the joy of leaving your opponents dumbfolded in sight of your absurdly awesome goals!,
,Product received for free. I love this game,
,THE BEST SURVİVAL GAME ON STEAM!!!,
,game play Fortnite/H1Z1/The Hunt/any of the 300 games coming out in 2018 that will feature a battle royale mode/any game that gives a damn about it's audience even a shred of how much bluehole does/anything but Bluehole,
,This game is an awesome survival raiding shooter game! if you want to end up spending multiple hours building a base and seeing if it can hold up against players trying to break in or you want to chase down air drops and get the loot before anybody or raid bases and loot rad towns and learn how to craft everything then this game is for you! 11/10 everyone should buy,
,This game is too much fun to pass on. If it's on sale make sure to pick it up. Both casual and competitive players can coexsist together in harmony.,
,very fun to play but if you want the full experience and go try hard mode have to buy all DLC.,
,Good Game !,
,I LAIK DIS GAME FOR REALLL GAIISSSS.. 10/10,
,not fun. straight up. why do people play this game?????,
,With over 100 hours in the game I can now say I'm sad about the state of this game. When I purchased this game it was early access and we waited forever for the one update to hopefully fix the insanely poor buggy game. The game is fun and its a insane to actually win . But the combat works better with close quater combat rather than the games constantly wanting long range. Most of the guns you will find are close quarters with a splattering of long range guns (good luck finding a scope to use said rifle once you find it). Then we are lead into the cheaters and poor optimized game. At the current moment most cheaters are seeming to come from china and the developer refuses to give china their own region locked server even though that would solve and Unknown himself calls the players asking for that xenophopic for even suggesting it. The developer seems to priotize how the game looks rather than make the game not run like even with a rig with more than enough power to run it. Please fix the game. It can be fun. Please focus on the bugs and the preformance. Listen to the community on this one because we have a point sometimes.,
,Goodgame with horrible server,
,A good gaming experience recommended enjoyment process in player. But the server is not stable enough.,
,Awesome game but the servers still lag alot fix that plox...,
,This game is good,
